Price,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
Ticker,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,RELIANCE.NS,TCS.NS
Date,,,,,,,,,,,,,,,,,,,,
2020-03-17,936.0751342773438,497.97906494140625,454.26947021484375,1537.8236083984375,969.578411743888,531.2255157412849,477.7039993333542,1605.5323679961973,916.4916054728354,493.5372190163964,452.1062838372437,1505.4996547143821,967.6584544929099,527.7258662805349,471.95801483542664,1604.6048507414334,21338419,16059887,45445979,5713248
2020-03-18,841.8052978515625,479.4488525390625,436.4682312011719,1534.4847412109375,953.2587951803874,518.662629793953,466.8430007264551,1589.3474156344218,830.3815285307504,473.79562029620615,433.0882562581214,1509.7663809517485,945.5789660147851,509.6892278944036,462.06594661012696,1555.2611526947956,30590703,15390183,44730415,7258778
2020-03-19,859.7088012695312,489.5439758300781,413.574462890625,1528.832275390625,883.1323019405071,500.7158732021591,435.79220223791236,1574.7060973215318,763.1829672552908,456.9705348175619,402.0825245960241,1445.1195387549656,813.101853163813,456.9705348175619,414.6560560212864,1457.2186028987505,33610024,16583991,61404010,5135111
2020-03-20,847.51708984375,525.1235961914062,458.7535705566406,1679.3470458984375,877.9964106192646,554.0628231632293,466.39232056622143,1746.1958408009393,791.5503487681442,491.7425234281857,419.1176461189363,1520.096646860957,839.9812812149705,493.0885339850147,423.39895374133204,1522.8995294304607,44318732,21354894,63360475,8547498
2020-03-23,740.6715087890625,472.40484619140625,398.40966796875,1559.9908447265625,805.1820851865842,503.3630887893648,428.13096463394135,1635.0147080949794,734.3836604086282,462.9379162928489,394.6240765756244,1511.4543108689445,762.7990047469377,484.5637971854382,412.89849888166185,1513.5564726364953,25138477,17146150,40670949,7003490
2020-03-24,736.9755859375,529.2513427734375,425.1565856933594,1591.2430419921875,777.5826691642557,539.4361889019018,437.1442419143066,1653.7005806609063,709.1841936359184,468.41167623881034,403.7049808505486,1525.5621202026055,763.422984756635,468.41167623881034,419.1176774084046,1544.4349297223785,30528636,20027097,45734887,6350865
2020-03-25,822.4616088867188,543.9677734375,487.7312927246094,1635.2950439453125,832.7333909175358,569.8111665739192,518.9623018191595,1691.0723572925344,725.0237876996724,507.6254864355414,434.1022811312337,1569.6141216858882,739.6154731328708,535.7122306214642,434.35013935879005,1588.3000040869108,23614021,18339548,73130298,2765520
2020-03-26,865.0366821289062,576.9898071289062,480.4981384277344,1673.2740478515625,900.1719336018855,584.0339065057285,503.3468228093596,1711.6736283241314,807.3419924324803,549.2619702285199,469.74980331879516,1609.3684197839057,835.2773459036899,551.8642789802136,493.837808947577,1711.2531275305207,28521578,14843813,45744488,4556067
2020-03-27,868.252685546875,585.6940307617188,480.22772216796875,1704.619384765625,949.0828980905619,605.6149965795825,499.0204232290803,1728.4438815107735,837.197341642059,576.3168135768293,471.4848461180295,1635.3882229161052,907.1318201480686,596.7761616724842,493.4772617189098,1700.4150618105987,27617968,13495283,41657940,4331250
2020-03-30,798.3662109375,562.3632202148438,464.38690185546875,1661.6419677734375,851.5010019995958,595.3853348406916,484.373860018584,1779.8301650876572,794.8622656771875,557.3380812867804,459.6774751015156,1647.6743173470381,844.7811519274456,560.9274427628359,468.96116329334336,1649.9632921495026,19634222,14624804,30229866,8513547
2020-03-31,827.4055786132812,575.6438598632812,501.92718505859375,1706.1146240234375,838.637281357104,594.0393378480003,509.160318635453,1733.11574934334,804.4620666408429,568.6446157790551,472.29602092997675,1663.043684006008,819.6297167993533,583.2712531740184,483.9907526160267,1716.6721941540964,17605546,15175521,44292810,3927593
2020-04-01,796.4462890625,540.9166870117188,486.9200744628906,1596.47509765625,829.2775111385743,572.0544043680436,506.81686999461346,1714.196158258847,787.1824719013174,533.0201038346947,471.03416557702,1590.1686122668252,829.2775111385743,569.2277606975631,505.75780940222205,1705.9276780026275,14551752,13083824,41597459,4941878
2020-04-03,781.278564453125,525.5721435546875,485.5680847167969,1545.50927734375,810.221942838664,543.7881378796343,511.2559610694693,1625.6717579232431,777.5826702598553,522.3865969351596,476.03653890901796,1541.585287685834,809.2619642334049,541.5447874758404,511.2559610694693,1625.6717579232431,17498140,10221655,41367807,5735369
2020-04-07,860.23681640625,573.4005126953125,543.5460205078125,1658.55908203125,870.9885886495065,578.1115497714477,547.106225712192,1668.5093384539914,811.5179015283973,549.9799502816792,495.7305368604317,1592.9716722876867,839.0213123791779,551.8643432044088,496.6769346121096,1597.643143467416,30206319,15145605,54373624,5427577
2020-04-08,853.3250732421875,566.7600708007812,537.25927734375,1593.3917236328125,907.1798538259889,588.3411472787295,553.8662897106859,1687.3350349000355,831.4375124346491,562.0490345646831,522.7704464900578,1589.2341607779404,844.7332523260865,565.3243483317862,531.7837134524203,1644.3575090941652,28109676,11806896,49880330,6285615
